,post_id,text,language,publication_time,collection_time,comments,likes,reposts,citations
1,1640648285991075845,"RT @BasahSultan: 🅾️036
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tjaanda…",en,2023-03-28 09:33:27+00:00,2023-03-28 09:33:46.933798+00:00,0,0,102,0
2,1640648277220794368,"RT @MekiLendirs: 🔐078
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tjaanda…",en,2023-03-28 09:33:25+00:00,2023-03-28 09:33:46.933798+00:00,0,0,94,0
4,1640648257037561856,RT @CHNFILES: Chanhee wearing Chanel: a thread https://t.co/VI3fKwMX61,en,2023-03-28 09:33:20+00:00,2023-03-28 09:33:46.933798+00:00,0,0,300,0
9,1640648110346235906,RT @styleofrensung: chanel bracelet🤔 https://t.co/4DzwG6yXt1,en,2023-03-28 09:32:45+00:00,2023-03-28 09:33:46.933798+00:00,0,0,141,0
10,1640648075709382657,"RT @MOE__boy: 6k odds go and get the code on telegram now
👇👇👇👇👇👇

https://t.co/tdjadiA5af

https://t.co/tdjadiA5af

And if you can stake hi…",en,2023-03-28 09:32:37+00:00,2023-03-28 09:33:46.933798+00:00,0,0,1,0
11,1640648053907496960,"RT @ms___dale: Chanel 🥰😍

Gift set

70k only.

Kindly RT please. https://t.co/uvix23KiRB",en,2023-03-28 09:32:32+00:00,2023-03-28 09:33:46.933798+00:00,0,0,24,0
13,1640648023809335296,RT @fentyyangx2: i think chanel should get renjun and yangyang as their brand ambassadors 😭 https://t.co/e3teNdTEPc,en,2023-03-28 09:32:25+00:00,2023-03-28 09:33:46.933798+00:00,0,0,36,0
15,1640648016473235456,"6k odds go and get the code on telegram now
👇👇👇👇👇👇

https://t.co/tdjadiA5af

https://t.co/tdjadiA5af

And if you can stake high the Chanel is for you👆

For those that are for 1k odds above the Chanel it for you too.👆
The goal is too make profit.

Retweet for others 🔁 https://t.co/K2Hh26GVS3",en,2023-03-28 09:32:23+00:00,2023-03-28 09:33:46.933798+00:00,0,4,1,0
18,1640647902346477568,"RT @gdvisions: the host at nike live art performance asked him about comeback and album, at chanel fashion week too, the editor at dazed el…",en,2023-03-28 09:31:56+00:00,2023-03-28 09:33:46.949377+00:00,0,0,6,0
19,1640647897166548992,"RT @gdvisions: the host at nike live art performance asked him about comeback and album, at chanel fashion week too, the editor at dazed el…",en,2023-03-28 09:31:55+00:00,2023-03-28 09:33:46.949377+00:00,0,0,6,0
21,1640647854351093763,"RT @MekiLendirs: 🔐078
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tjaanda…",en,2023-03-28 09:31:44+00:00,2023-03-28 09:33:46.949377+00:00,0,0,94,0
22,1640647829210251266,RT @CHNFILES: Chanhee wearing Chanel: a thread https://t.co/VI3fKwMX61,en,2023-03-28 09:31:38+00:00,2023-03-28 09:33:46.949377+00:00,0,0,300,0
23,1640647808951934976,RT @CHNFILES: Chanhee wearing Chanel: a thread https://t.co/VI3fKwMX61,en,2023-03-28 09:31:34+00:00,2023-03-28 09:33:46.949377+00:00,0,0,300,0
24,1640647786604658688,RT @swans_writes: HANG ON DO RENYANG HAVE MATCHING CHANEL JEWELLERY?????? AND THEY WORE THIS NECKLACE THE SAME WAY TOO??? https://t.co/vrtV…,en,2023-03-28 09:31:28+00:00,2023-03-28 09:33:46.949377+00:00,0,0,343,0
27,1640647721378775041,RT @saintdoII: alexa demie wearing a vivienne westwood silk satin corset from 1992 paired with vintage chanel jewelry https://t.co/VEnN76pu…,en,2023-03-28 09:31:13+00:00,2023-03-28 09:33:46.949377+00:00,0,0,3987,0
29,1640647720292749312,"RT @gdvisions: the host at nike live art performance asked him about comeback and album, at chanel fashion week too, the editor at dazed el…",en,2023-03-28 09:31:12+00:00,2023-03-28 09:33:46.949377+00:00,0,0,6,0
30,1640647704979308545,"RT @jnkzoner: ""JeNnIe hAs nO iMpACt"" got 9 brands under her belt, 19 global campaigns, makes brands her nick name(human chanel,ck,Porsche),…",en,2023-03-28 09:31:09+00:00,2023-03-28 09:33:46.949377+00:00,0,0,25,0
32,1640647638541385728,"RT @GlorYBaee: Chanel ladies set🌝

N22,000🛍️ https://t.co/nO8VBo1tyF",en,2023-03-28 09:30:53+00:00,2023-03-28 09:33:46.949377+00:00,0,0,3,0
33,1640647580420829184,"Is he your type, @basic_chanel? 😆 https://t.co/Tf2obi4bRq",en,2023-03-28 09:30:39+00:00,2023-03-28 09:33:46.949377+00:00,0,0,0,0
36,1640647522569060353,RT @CHNFILES: Chanhee wearing Chanel: a thread https://t.co/VI3fKwMX61,en,2023-03-28 09:30:25+00:00,2023-03-28 09:33:46.949377+00:00,0,0,300,0
37,1640647461168644096,"RT @FerlinaUkhti: 🅾️038
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tjaand…",en,2023-03-28 09:30:11+00:00,2023-03-28 09:33:46.949377+00:00,0,0,77,0
38,1640647458853355522,RT @CHNFILES: Chanhee wearing Chanel: a thread https://t.co/VI3fKwMX61,en,2023-03-28 09:30:10+00:00,2023-03-28 09:33:46.949377+00:00,0,0,300,0
41,1640647443090907138,"RT @CHANELBRATB: Heavy 😈

* https://t.co/8orGwZzNys * https://t.co/BBfQy11BgG",en,2023-03-28 09:30:06+00:00,2023-03-28 09:33:46.949377+00:00,0,0,8,0
42,1640647437097357317,"Hello Youtube , @TeamYouTube Still My issue not solved . I uploaded real content Made by me But still Reuses issue Kindly Help @TeamYouTube  My chanel :: https://t.co/8S0ekGQ6WI",en,2023-03-28 09:30:05+00:00,2023-03-28 09:33:46.949377+00:00,0,0,0,0
43,1640647426158493696,"RT @GlorYBaee: Chanel ladies set🌝

N22,000🛍️ https://t.co/nO8VBo1tyF",en,2023-03-28 09:30:02+00:00,2023-03-28 09:33:46.949377+00:00,0,0,3,0
44,1640647412271427585,"RT @pannchoa: G-dragon releases new photoshoot with Chanel
https://t.co/20xwjgGhtP https://t.co/Z4XGxXEE2J",en,2023-03-28 09:29:59+00:00,2023-03-28 09:33:46.949377+00:00,0,0,37,0
45,1640647406068064256,"RT @society_pr10109: 🅾️042
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tja…",en,2023-03-28 09:29:58+00:00,2023-03-28 09:33:46.949377+00:00,0,0,171,0
46,1640647365999599617,"RT @bobohuri: wearing chanel outfit, wearing nike collab shoe, attending bmw launching. YOU'RE CRAZY https://t.co/lOodCgmnPt",en,2023-03-28 09:29:48+00:00,2023-03-28 09:33:46.949377+00:00,0,0,95,0
47,1640647351437238272,RT @CHNFILES: Chanhee wearing Chanel: a thread https://t.co/VI3fKwMX61,en,2023-03-28 09:29:44+00:00,2023-03-28 09:33:46.949377+00:00,0,0,300,0
49,1640647309242548226,"RT @MekiLendirs: 🔐073
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tjaanda…",en,2023-03-28 09:29:34+00:00,2023-03-28 09:33:46.949377+00:00,0,0,287,0
50,1640647194972700672,"RT @GlorYBaee: Chanel ladies set🌝

N22,000🛍️ https://t.co/nO8VBo1tyF",en,2023-03-28 09:29:07+00:00,2023-03-28 09:33:46.949377+00:00,0,0,3,0
52,1640647158138298368,RT @CHNFILES: Chanhee wearing Chanel: a thread https://t.co/VI3fKwMX61,en,2023-03-28 09:28:58+00:00,2023-03-28 09:33:46.949377+00:00,0,0,300,0
53,1640647137942966274,"RT @society_pr10109: 🅾️040
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tja…",en,2023-03-28 09:28:54+00:00,2023-03-28 09:33:46.949377+00:00,0,0,385,0
54,1640647093457960962,RT @CHNFILES: Chanhee wearing Chanel: a thread https://t.co/VI3fKwMX61,en,2023-03-28 09:28:43+00:00,2023-03-28 09:33:46.949377+00:00,0,0,300,0
56,1640647034922213377,"Chanel ladies set🌝

N22,000🛍️ https://t.co/nO8VBo1tyF",en,2023-03-28 09:28:29+00:00,2023-03-28 09:33:46.949377+00:00,0,4,3,0
57,1640646983781343233,RT @CHNFILES: Chanhee wearing Chanel: a thread https://t.co/VI3fKwMX61,en,2023-03-28 09:28:17+00:00,2023-03-28 09:33:46.949377+00:00,0,0,300,0
58,1640646928806604802,"RT @MekiLendirs: 🔐081
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tjaanda…",en,2023-03-28 09:28:04+00:00,2023-03-28 09:33:46.949377+00:00,0,0,34,0
60,1640646924570349569,"RT @BasahSultan: 🅾️037
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tjaanda…",en,2023-03-28 09:28:03+00:00,2023-03-28 09:33:46.949377+00:00,0,0,237,0
61,1640646889057193984,RT @fairyissabey: renyang matching chanel jewellery https://t.co/7tQOKtAgvV,en,2023-03-28 09:27:54+00:00,2023-03-28 09:33:46.949377+00:00,0,0,106,0
62,1640646881201258498,"RT @society_pr10109: 🅾️040
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tja…",en,2023-03-28 09:27:52+00:00,2023-03-28 09:33:46.949377+00:00,0,0,385,0
64,1640646750506729472,"RT @BasahSultan: 🅾️025
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tjaanda…",en,2023-03-28 09:27:21+00:00,2023-03-28 09:33:46.949377+00:00,0,0,15,0
65,1640646739219689474,RT @rubyjaneshoots: Jennie for Chanel Coco Crush with Elle Taiwan 2022 February Issue. https://t.co/EbxnkxC31W,en,2023-03-28 09:27:19+00:00,2023-03-28 09:33:46.949377+00:00,0,0,1,0
66,1640646708110434306,"RT @gdvisions: the host at nike live art performance asked him about comeback and album, at chanel fashion week too, the editor at dazed el…",en,2023-03-28 09:27:11+00:00,2023-03-28 09:33:46.949377+00:00,0,0,6,0
67,1640646706441367552,RT @gdvisions: someone tell gdragon that make chanel looks good is not his main job https://t.co/9SQv1ZALgr,en,2023-03-28 09:27:11+00:00,2023-03-28 09:33:46.949377+00:00,0,0,10,0
68,1640646632063795201,Platinum Chanel,en,2023-03-28 09:26:53+00:00,2023-03-28 09:33:46.949377+00:00,0,0,0,0
70,1640646616167370752,RT @swans_writes: HANG ON DO RENYANG HAVE MATCHING CHANEL JEWELLERY?????? AND THEY WORE THIS NECKLACE THE SAME WAY TOO??? https://t.co/vrtV…,en,2023-03-28 09:26:49+00:00,2023-03-28 09:33:46.949377+00:00,0,0,343,0
72,1640646585142120448,"RT @MekiLendirs: 🔐079
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tjaanda…",en,2023-03-28 09:26:42+00:00,2023-03-28 09:33:46.949377+00:00,0,0,124,0
73,1640646580121526272,RT @So_Han_dsome: @aajtak @aroonpurie your Chanel is shit Commode &amp; your reporters are are भॉड @Sudarsh00959843 @Sakhtla94492921 @ShivSha80…,en,2023-03-28 09:26:41+00:00,2023-03-28 09:33:46.949377+00:00,0,0,1,0
74,1640646555039596544,Authentic Vintage CHANEL Pearl CC Logo Long Necklace https://t.co/lEIYw0TfOr eBay https://t.co/Z9cRmOxPgb,en,2023-03-28 09:26:35+00:00,2023-03-28 09:33:46.949377+00:00,0,0,0,0
75,1640646528967786496,RT @CHNFILES: Chanhee wearing Chanel: a thread https://t.co/VI3fKwMX61,en,2023-03-28 09:26:28+00:00,2023-03-28 09:33:46.949377+00:00,0,0,300,0
78,1640646459690455042,"RT @wubbushi: Chanel Oz
Working on a drop based on this concept. Is this something y'all would like to see? https://t.co/44WjDdcxyc",en,2023-03-28 09:26:12+00:00,2023-03-28 09:33:46.949377+00:00,0,0,7,0
79,1640646458910318594,"RT @BasahSultan: 🅾️037
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tjaanda…",en,2023-03-28 09:26:12+00:00,2023-03-28 09:33:46.949377+00:00,0,0,237,0
81,1640646424772898816,RT @swans_writes: HANG ON DO RENYANG HAVE MATCHING CHANEL JEWELLERY?????? AND THEY WORE THIS NECKLACE THE SAME WAY TOO??? https://t.co/vrtV…,en,2023-03-28 09:26:04+00:00,2023-03-28 09:33:46.949377+00:00,0,0,343,0
84,1640646315037323264,RT @gdvisions: someone tell gdragon that make chanel looks good is not his main job https://t.co/9SQv1ZALgr,en,2023-03-28 09:25:37+00:00,2023-03-28 09:33:46.965001+00:00,0,0,10,0
87,1640646260758654977,RT @BARIJUKU: OMG NICKI &amp; FOXY RE-ENTERED THE HOT 100! COCO CHANEL SUPREMACY,en,2023-03-28 09:25:24+00:00,2023-03-28 09:33:46.965001+00:00,0,0,13,0
91,1640646150796767233,"RT @lyle0_0: OP  posing  with  #JENNIE's  Global  campaign  for  @CHANEL  Coco  Crush

📍 Seoul, South Korea 🇰🇷 https://t.co/J08k2BTrBR",en,2023-03-28 09:24:58+00:00,2023-03-28 09:33:46.965001+00:00,0,0,91,0
92,1640646119150743553,RT @fairyissabey: renyang matching chanel jewellery https://t.co/7tQOKtAgvV,en,2023-03-28 09:24:51+00:00,2023-03-28 09:33:46.965001+00:00,0,0,106,0
94,1640646095024816129,RT @lyle0_0: #JENNIE's  animated  film  for  @CHANEL  Coco  Crush  campaign  playing  at  Chanel  store  📍 Seoul   🇰🇷 https://t.co/sxPJM9hP…,en,2023-03-28 09:24:45+00:00,2023-03-28 09:33:46.965001+00:00,0,0,71,0
95,1640646040624963584,RT @CHNFILES: Chanhee wearing Chanel: a thread https://t.co/VI3fKwMX61,en,2023-03-28 09:24:32+00:00,2023-03-28 09:33:46.965001+00:00,0,0,300,0
98,1640646007288643586,"RT @lyle0_0: #JENNIE's  Global  campaign  for  @CHANEL  Coco  Crush

📍 Japan https://t.co/ZSPilCGYm6",en,2023-03-28 09:24:24+00:00,2023-03-28 09:33:46.965001+00:00,0,0,66,0
100,1640646001718599681,"RT @bobohuri: wearing chanel outfit, wearing nike collab shoe, attending bmw launching. YOU'RE CRAZY https://t.co/lOodCgmnPt",en,2023-03-28 09:24:23+00:00,2023-03-28 09:33:47.433734+00:00,0,0,95,0
101,1640645926288257024,"RT @jnkzoner: ""JeNnIe hAs nO iMpACt"" got 9 brands under her belt, 19 global campaigns, makes brands her nick name(human chanel,ck,Porsche),…",en,2023-03-28 09:24:05+00:00,2023-03-28 09:33:47.433734+00:00,0,0,25,0
102,1640645918956605441,"RT @UkhtiHyper: 🅾️039
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tjaanda…",en,2023-03-28 09:24:03+00:00,2023-03-28 09:33:47.433734+00:00,0,0,78,0
105,1640645812920422400,RT @saintdoII: alexa demie wearing a vivienne westwood silk satin corset from 1992 paired with vintage chanel jewelry https://t.co/VEnN76pu…,en,2023-03-28 09:23:38+00:00,2023-03-28 09:33:47.433734+00:00,0,0,3987,0
108,1640645741294264320,RT @SelectOutfit: baby blue chanel https://t.co/zuyZmfXiip,en,2023-03-28 09:23:21+00:00,2023-03-28 09:33:47.449245+00:00,0,0,1242,0
109,1640645738450530304,"RT @UkhtiHyper: 🅾️038
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tjaanda…",en,2023-03-28 09:23:20+00:00,2023-03-28 09:33:47.449245+00:00,0,0,86,0
110,1640645671954051073,"My Chanel fridge Sway Vibe..
https://t.co/ejwAdFTAhS https://t.co/QPtDg5lY57",en,2023-03-28 09:23:04+00:00,2023-03-28 09:33:47.449245+00:00,0,0,0,0
111,1640645621810954241,RT @SelectOutfit: baby blue chanel https://t.co/zuyZmfXiip,en,2023-03-28 09:22:52+00:00,2023-03-28 09:33:47.449245+00:00,0,0,1242,0
115,1640645515703623680,"RT @MekiLendirs: 🔐073
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tjaanda…",en,2023-03-28 09:22:27+00:00,2023-03-28 09:33:47.449245+00:00,0,0,287,0
116,1640645496376025088,@aajtak @aroonpurie your Chanel is shit Commode &amp; your reporters are are भॉड @Sudarsh00959843 @Sakhtla94492921 @ShivSha80732190 @ravi4354 @Vyangyabaazi @RajBuxsingh3 @sschauh75696498 @AnsariK787 @AchryConfucious @anamikaa_143 @sanjay_boi71 @ManishGoel_ @hemavt786 @budhwardee https://t.co/tebBatKt5Q,en,2023-03-28 09:22:22+00:00,2023-03-28 09:33:47.449245+00:00,0,3,1,0
117,1640645444395991041,"RT @jnkzoner: ""JeNnIe hAs nO iMpACt"" got 9 brands under her belt, 19 global campaigns, makes brands her nick name(human chanel,ck,Porsche),…",en,2023-03-28 09:22:10+00:00,2023-03-28 09:33:47.449245+00:00,0,0,25,0
118,1640645432454922240,"RT @saintdemie: jennie is the new face of the chanel ‘22 bag, joining lily rose and whitney peak as the campaign faces for the bag ୨୧ https…",en,2023-03-28 09:22:07+00:00,2023-03-28 09:33:47.449245+00:00,0,0,968,0
119,1640645400620331009,"RT @BasahSultan: 🅾️033
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tjaanda…",en,2023-03-28 09:21:59+00:00,2023-03-28 09:33:47.449245+00:00,0,0,406,0
120,1640645386439208961,RT @SelectOutfit: baby blue chanel https://t.co/zuyZmfXiip,en,2023-03-28 09:21:56+00:00,2023-03-28 09:33:47.449245+00:00,0,0,1242,0
121,1640645378407034880,"RT @pedjuang_basah: 🔐204
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tjaan…",en,2023-03-28 09:21:54+00:00,2023-03-28 09:33:47.449245+00:00,0,0,36,0
123,1640645364540915713,RT @CHNFILES: Chanhee wearing Chanel: a thread https://t.co/VI3fKwMX61,en,2023-03-28 09:21:51+00:00,2023-03-28 09:33:47.449245+00:00,0,0,300,0
124,1640645363538460673,"RT @MekiLendirs: 🔐078
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tjaanda…",en,2023-03-28 09:21:51+00:00,2023-03-28 09:33:47.449245+00:00,0,0,94,0
127,1640645281304969216,"RT @MekiLendirs: 🔐079
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tjaanda…",en,2023-03-28 09:21:31+00:00,2023-03-28 09:33:47.449245+00:00,0,0,124,0
128,1640645280662974465,RT @kkbabyxxx: Join my telegram Chanel for all uncensored🖤🐱 https://t.co/KkxkbMdm4N https://t.co/j3vXPCZcDk,en,2023-03-28 09:21:31+00:00,2023-03-28 09:33:47.449245+00:00,0,0,52,0
132,1640645248551362563,RT @notpannchoa2: [ notpannchoa ] G-dragon releases new photoshoot with Chanel https://t.co/Ro4zL5irlu,en,2023-03-28 09:21:23+00:00,2023-03-28 09:33:47.449245+00:00,0,0,9,0
134,1640645153231884290,"RT @BasahSultan: 🅾️035
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tjaanda…",en,2023-03-28 09:21:00+00:00,2023-03-28 09:33:47.449245+00:00,0,0,164,0
135,1640645131341799424,RT @jennieaceitgirl: calling jennie irrelevant when her latest global campaign with calvin klein is already plastered ALL over the world 😭…,en,2023-03-28 09:20:55+00:00,2023-03-28 09:33:47.449245+00:00,0,0,142,0
137,1640645078845882369,"RT @pannchoa: G-dragon releases new photoshoot with Chanel
https://t.co/20xwjgGhtP https://t.co/Z4XGxXEE2J",en,2023-03-28 09:20:43+00:00,2023-03-28 09:33:47.449245+00:00,0,0,37,0
138,1640645073540120576,"RT @bobohuri: wearing chanel outfit, wearing nike collab shoe, attending bmw launching. YOU'RE CRAZY https://t.co/lOodCgmnPt",en,2023-03-28 09:20:41+00:00,2023-03-28 09:33:47.464867+00:00,0,0,95,0
139,1640645044590747648,RT @CHNFILES: Chanhee wearing Chanel: a thread https://t.co/VI3fKwMX61,en,2023-03-28 09:20:34+00:00,2023-03-28 09:33:47.464867+00:00,0,0,300,0
141,1640645014912106496,RT @CHNFILES: Chanhee wearing Chanel: a thread https://t.co/VI3fKwMX61,en,2023-03-28 09:20:27+00:00,2023-03-28 09:33:47.464867+00:00,0,0,300,0
143,1640644942836924416,"RT @pannchoa: G-dragon releases new photoshoot with Chanel
https://t.co/20xwjgGhtP https://t.co/Z4XGxXEE2J",en,2023-03-28 09:20:10+00:00,2023-03-28 09:33:47.464867+00:00,0,0,37,0
144,1640644937258766340,Jennie Cunningham is the latest in a long line of models who have graced the runway for Chanel. Her runway debut garnered much media attention and she was quickly snapped up by top modeling agencies. https://t.co/JBTXcFF2M4,en,2023-03-28 09:20:09+00:00,2023-03-28 09:33:47.464867+00:00,0,0,0,0
145,1640644932171087872,RT @CHNFILES: Chanhee wearing Chanel: a thread https://t.co/VI3fKwMX61,en,2023-03-28 09:20:08+00:00,2023-03-28 09:33:47.464867+00:00,0,0,300,0
147,1640644814520877057,"RT @jnkzoner: ""JeNnIe hAs nO iMpACt"" got 9 brands under her belt, 19 global campaigns, makes brands her nick name(human chanel,ck,Porsche),…",en,2023-03-28 09:19:40+00:00,2023-03-28 09:33:47.464867+00:00,0,0,25,0
148,1640644783172620288,RT @lyle0_0: #JENNIE's  animated  film  for  @CHANEL  Coco  Crush  campaign  playing  at  Chanel  store  📍 Seoul   🇰🇷 https://t.co/sxPJM9hP…,en,2023-03-28 09:19:32+00:00,2023-03-28 09:33:47.464867+00:00,0,0,71,0
149,1640644780651872258,RT @CHNFILES: Chanhee wearing Chanel: a thread https://t.co/VI3fKwMX61,en,2023-03-28 09:19:32+00:00,2023-03-28 09:33:47.464867+00:00,0,0,300,0
153,1640644651899138049,RT @CHNFILES: Chanhee wearing Chanel: a thread https://t.co/VI3fKwMX61,en,2023-03-28 09:19:01+00:00,2023-03-28 09:33:47.464867+00:00,0,0,300,0
154,1640644611290046465,"RT @jnkzoner: ""JeNnIe hAs nO iMpACt"" got 9 brands under her belt, 19 global campaigns, makes brands her nick name(human chanel,ck,Porsche),…",en,2023-03-28 09:18:51+00:00,2023-03-28 09:33:47.464867+00:00,0,0,25,0
155,1640644545280102400,"RT @UkhtiHyper: 🅾️037
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tjaanda…",en,2023-03-28 09:18:35+00:00,2023-03-28 09:33:47.464867+00:00,0,0,130,0
156,1640644532655083520,"@AlottaMalotta @ChanLPfa Why is this a big deal? No wonder the left go batshit on us bc we have crazies on the right too. I am sorry that u &amp; Chanel went through this. Twitter can be toxic. Don't even bother explaining urself to the #twitterlunatics, not worth it. Sending u positive thoughts &amp; support ❤️",en,2023-03-28 09:18:32+00:00,2023-03-28 09:33:47.464867+00:00,0,0,0,0
157,1640644501709668352,RT @LuckyNo_9: let me show you sth interesting：pretending to be invited to chanel haute couture show🤭🤭🤭 https://t.co/UlpkgjvJhQ,en,2023-03-28 09:18:25+00:00,2023-03-28 09:33:47.464867+00:00,0,0,17,0
158,1640644467102482432,RT @CHNFILES: Chanhee wearing Chanel: a thread https://t.co/VI3fKwMX61,en,2023-03-28 09:18:17+00:00,2023-03-28 09:33:47.464867+00:00,0,0,300,0
159,1640644391353339904,RT @swans_writes: HANG ON DO RENYANG HAVE MATCHING CHANEL JEWELLERY?????? AND THEY WORE THIS NECKLACE THE SAME WAY TOO??? https://t.co/vrtV…,en,2023-03-28 09:17:59+00:00,2023-03-28 09:33:47.464867+00:00,0,0,343,0
162,1640644370582974465,RT @jennieaceitgirl: calling jennie irrelevant when her latest global campaign with calvin klein is already plastered ALL over the world 😭…,en,2023-03-28 09:17:54+00:00,2023-03-28 09:33:47.464867+00:00,0,0,142,0
164,1640644348240093184,RT @CHNFILES: Chanhee wearing Chanel: a thread https://t.co/VI3fKwMX61,en,2023-03-28 09:17:48+00:00,2023-03-28 09:33:47.464867+00:00,0,0,300,0
165,1640644250353426437,"RT @pannchoa: G-dragon releases new photoshoot with Chanel
https://t.co/20xwjgGhtP https://t.co/Z4XGxXEE2J",en,2023-03-28 09:17:25+00:00,2023-03-28 09:33:47.464867+00:00,0,0,37,0
166,1640644236323201031,"RT @rainandyuu: Did you all know if YG never ever post about jennie's event??? They never post her chanel pfw, not post about her porsche,…",en,2023-03-28 09:17:22+00:00,2023-03-28 09:33:47.464867+00:00,0,0,271,0
167,1640644100222496770,"@ShenChe28890640 most of the products I mentioned above like chanel, aesop, creed and non-fiction. you can probably buy from online websites 🥺 milk baobab and w.dressroom, they have these on shopee/lazada. Hehehe",en,2023-03-28 09:16:49+00:00,2023-03-28 09:33:47.464867+00:00,0,0,0,0
171,1640643971549483008,"What do we have here?👀
We like games, but what about games where you can earn money? Yes thats right 🔥 @XGang2022   is a play to earn zombie game 🚀 and the nft mint is live right naw 🔥
Here is the discord chanel https://t.co/r8EEPp4zjO
The future of gaming start's naw! 🚀🚀 https://t.co/8BjapQn8vg",en,2023-03-28 09:16:19+00:00,2023-03-28 09:33:47.480490+00:00,0,0,0,0
173,1640643871293030400,"Chanel:
https://t.co/XDmMz6eQkT https://t.co/G3BVdfeAfG",en,2023-03-28 09:15:55+00:00,2023-03-28 09:33:47.480490+00:00,1,0,0,0
176,1640643729655734273,"RT @pedjuang_basah: 🔐166
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tjaan…",en,2023-03-28 09:15:21+00:00,2023-03-28 09:33:47.480490+00:00,0,0,48,0
178,1640643663469629440,"RT @MekiLendirs: 🔐075
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tjaanda…",en,2023-03-28 09:15:05+00:00,2023-03-28 09:33:47.480490+00:00,0,0,499,0
179,1640643628216483841,RT @swans_writes: HANG ON DO RENYANG HAVE MATCHING CHANEL JEWELLERY?????? AND THEY WORE THIS NECKLACE THE SAME WAY TOO??? https://t.co/vrtV…,en,2023-03-28 09:14:57+00:00,2023-03-28 09:33:47.480490+00:00,0,0,343,0
