post_id;text;language;publication_time;collection_time;comments;likes;reposts;citations
1640648301229019137;ว่าไม่ได้ ไม่แปลกที่เกาหลีจะให้ลุคนี้ ก็สองคนนี้ เขาลูกหลานพระยานาหมื่นคร้าหวังอี้ป๋อหลานยายหอม Coco Chanel  ตี๋ลี่เร่อปา christian dior ตระกูล haute couture ทั้งคู่ ฝ่ายชายไม่จิกแบรนด์ยาย สวมแบรนด์อื่นก็ยัง เป็นตระกูล haute couture อยู่ดี ใครจะเอาลง #wangyibo #หวังอี้ป๋อ https://t.co/vjkkfVIfD6;th;2023-03-28 09:33:31+00:00;2023-03-28 09:33:46.933798+00:00;0;0;0;0
1640648285991075845;"RT @BasahSultan: 🅾️036
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tjaanda…";en;2023-03-28 09:33:27+00:00;2023-03-28 09:33:46.933798+00:00;0;0;102;0
1640648277220794368;"RT @MekiLendirs: 🔐078
@PedjuLendir
@TjapJagoeng
@AdrieneTemok
@GDSViral
@MufdaZH
@DeHariyaPutri
@slangbasah 
@BahanPercolian
@Indo_Tjaanda…";en;2023-03-28 09:33:25+00:00;2023-03-28 09:33:46.933798+00:00;0;0;94;0
1640648257432059904;"RT @ellejapan: 「シャネル」のアイコンジュエリー“ココ クラッシュ”が導く、輝く季節の始まり。充実のコレクションから、あなただけのお気に入りを見つけて。

https://t.co/kGxN4Qpooy

#CHANELFineJewelry #CocoCrush…";ja;2023-03-28 09:33:20+00:00;2023-03-28 09:33:46.933798+00:00;0;0;24;0
1640648257037561856;RT @CHNFILES: Chanhee wearing Chanel: a thread https://t.co/VI3fKwMX61;en;2023-03-28 09:33:20+00:00;2023-03-28 09:33:46.933798+00:00;0;0;300;0
1640648252768026624;"RT @randyrahardiann: Ready SURABAYA
📍jakarta &amp; luar kota
Rsv https://t.co/9lUF0ztF4S
Tanggal 7-10 Open room daerah surabaya ya
Yuk isi slot…";in;2023-03-28 09:33:19+00:00;2023-03-28 09:33:46.933798+00:00;0;0;133;0
1640648226264203264;RT @Altercdo6921: Chinupa ako nang seaman bago ako pina alis sa barko🍆🤤nakita nya kasi ako kagabi nag jajakol🍆💦kung paano ininum ang tamod…;tl;2023-03-28 09:33:13+00:00;2023-03-28 09:33:46.933798+00:00;0;0;7110;0
1640648222883590145;RT @spotyfrase: eladio carrion / coco chanel https://t.co/d7ediWmPjC;es;2023-03-28 09:33:12+00:00;2023-03-28 09:33:46.933798+00:00;0;0;1155;0
1640648145188311045;RT @THEIDOLNEWSBR: 🚨| TEORIA: Lily-Rose Depp e Jennie podem passar pelo tapete do Met Gala 2023, já que o tema da vez é “Karl Lagerfeld - U…;pt;2023-03-28 09:32:54+00:00;2023-03-28 09:33:46.933798+00:00;0;0;55;0
1640648110346235906;RT @styleofrensung: chanel bracelet🤔 https://t.co/4DzwG6yXt1;en;2023-03-28 09:32:45+00:00;2023-03-28 09:33:46.933798+00:00;0;0;141;0
1640648075709382657;"RT @MOE__boy: 6k odds go and get the code on telegram now
👇👇👇👇👇👇

https://t.co/tdjadiA5af

https://t.co/tdjadiA5af

And if you can stake hi…";en;2023-03-28 09:32:37+00:00;2023-03-28 09:33:46.933798+00:00;0;0;1;0
1640648053907496960;"RT @ms___dale: Chanel 🥰😍

Gift set

70k only.

Kindly RT please. https://t.co/uvix23KiRB";en;2023-03-28 09:32:32+00:00;2023-03-28 09:33:46.933798+00:00;0;0;24;0
1640648049965006849;RT @Altercdo6921: Chinupa ako nang seaman bago ako pina alis sa barko🍆🤤nakita nya kasi ako kagabi nag jajakol🍆💦kung paano ininum ang tamod…;tl;2023-03-28 09:32:31+00:00;2023-03-28 09:33:46.933798+00:00;0;0;7110;0
1640648023809335296;RT @fentyyangx2: i think chanel should get renjun and yangyang as their brand ambassadors 😭 https://t.co/e3teNdTEPc;en;2023-03-28 09:32:25+00:00;2023-03-28 09:33:46.933798+00:00;0;0;36;0
